amostra;ponto de fulgor;massa especifica;enxofre
35713.csv;32,9;844,9;160
35718.csv;35;858,1;340
35721.csv;47,1;840,4;7,3
35724.csv;48;858,8;360
35730.csv;52;837,8;150
35742.csv;52;849,3;150
35745.csv;50,2;845,3;180
35752.csv;53,5;842,8;6,8
35755.csv;45,2;858,6;240
35761.csv;45,2;846,5;6,4
35764.csv;49,5;859,8;300
35767.csv;40,3;857,5;200
35777.csv;51,5;862;220
35780.csv;44,2;858,2;270
35791.csv;45,3;846,7;6,4
35804.csv;56;850,7;160
35807.csv;49,5;843,7;7,2
35810.csv;47,3;847;6,5
35813.csv;45,5;850,6;150
35816.csv;47,3;862,3;310
35819.csv;49,5;859,5;220
35822.csv;49,3;833,3;3,9
35831.csv;52,3;850,9;220
35835.csv;49,2;843,6;6,2
35841.csv;49,2;860,1;340
35844.csv;47,2;859,2;330
35854.csv;48,2;859,4;390
35857.csv;41,2;838,3;9,2
35860.csv;56,3;841,8;6,5
35863.csv;54,2;847,8;6,9
35866.csv;49,2;859,7;270
35869.csv;44,5;845,9;90
35876.csv;51,8;837,9;5,6
35879.csv;44,2;844,8;130
35888.csv;44,5;845;100
35891.csv;44,2;838,7;3,8
35895.csv;49,5;856,2;220
35901.csv;48,5;837,2;4,9
35904.csv;29,1;837,2;5,8
35914.csv;42;844,6;63
35917.csv;44,2;838;3,8
35923.csv;45,2;842,4;66
35926.csv;49,1;858,8;210
35932.csv;48,1;860,6;240
35935.csv;46;847;6,6
35938.csv;39,6;859,3;100
35941.csv;52,6;859,7;260
35944.csv;50;845;7,6
35952.csv;55;859,8;230
35964.csv;46;842,9;78
35967.csv;44;845,5;72
35970.csv;48;844,3;63
35973.csv;47;838,6;4,6
35979.csv;40,5;838,3;4
35982.csv;47,5;844,6;62
35985.csv;29,3;842,5;81
35989.csv;20,9;836,7;4,3
35993.csv;46,5;846,1;120
36333.csv;47,5;838,1;9,3
36336.csv;50,2;846,5;7,4
36339.csv;49,5;847,5;7,2
36342.csv;42,5;845,8;220
36351.csv;54,5;840,9;190
36354.csv;50,2;839,6;230
36361.csv;46,2;860,2;330
36364.csv;53,3;840;400
36367.csv;57,5;839,2;9,8
36370.csv;55;861,2;270
36373.csv;43,1;842,4;7,9
36376.csv;51;839,4;140
36379.csv;52,1;861,1;260
36382.csv;43,5;844,2;6,4
36385.csv;43,2;846,5;7,4
36388.csv;28,3;844,9;7,5
36391.csv;45,2;848,1;8
36401.csv;36,2;859,6;200
36404.csv;48,2;863,2;240
36407.csv;47,5;859,3;240
36416.csv;45,2;845,8;6,4
36419.csv;45,5;858;250
36422.csv;53;861,8;210
36425.csv;44,3;857,8;180
36429.csv;50,5;846,5;6,9
36432.csv;50,5;862,5;230
36444.csv;51,1;863,1;320
36447.csv;40,7;843,1;7,5
36450.csv;49,5;846;6,9
36453.csv;48,2;857,8;200
36456.csv;33,3;846,8;6,4
36466.csv;43,2;844,4;150
36469.csv;45,5;838,1;5,4
36472.csv;21,8;841,2;80
36475.csv;49,2;860,7;230
36478.csv;44,5;838,8;3,9
36481.csv;61,2;860,1;58
36484.csv;38,7;838,3;3,4
36487.csv;46,5;837,9;3,9
36491.csv;44,2;843,4;85
36508.csv;42,7;844,6;110
36511.csv;47,2;837,6;4,9
36526.csv;41,5;844,8;200
36529.csv;41;846,3;88
36535.csv;59,2;859,9;72
36544.csv;50;859,9;250
36547.csv;37,7;859,5;210
36553.csv;46,5;859,6;200
36556.csv;50,2;859,5;100
36559.csv;48;843,7;5,5
36559.csv;47,5;845,7;6
36566.csv;50,5;846,7;6,6
36575.csv;46,2;844,6;5,8
36578.csv;48,5;844,9;6,6
36594.csv;45,2;847,8;40
36601.csv;45,7;844,8;64
36604.csv;42,2;839,6;5,6
36610.csv;46,2;840,9;5,6
36613.csv;46,5;838,5;4,1
36616.csv;45,5;844,1;74
36619.csv;47;843,6;72
36628.csv;49;839,7;4,2
