amostra,PC1,PC2,PC3,ponto de fulgor,massa especifica,enxofre
35713.csv,-0.32835226595071015,-1.8368051597615898,-0.43460510011074655,32.9,844.9,160.0
35718.csv,1.8710939886790856,-1.9090213784328578,-0.47208376618491027,35.0,858.1,340.0
35721.csv,-1.3366510858356706,0.2110235904700386,-0.08797211161469437,47.1,840.4,7.3
35724.csv,2.30203054767653,-0.31108437558643404,-0.7259262678393342,48.0,858.8,360.0
35730.csv,-0.5945232369490441,0.6007355442774296,-1.235412141275054,52.0,837.8,150.0
35742.csv,0.34262107882752496,0.5649936004624688,-0.2932290904737549,52.0,849.3,150.0
35745.csv,0.1620139714624834,0.30217283635717485,-0.7759654917774856,50.2,845.3,180.0
35752.csv,-1.0192408625986111,1.0082663080502523,0.01800322989544305,53.5,842.8,6.8
35755.csv,1.509245246052048,-0.4655182977036601,0.02414040674251594,45.2,858.6,240.0
35761.csv,-0.8820330620122853,-0.045112991371541185,0.44504591106934754,45.2,846.5,6.4
35764.csv,2.051845944255871,-0.027460846447498764,-0.30321844212421695,49.5,859.8,300.0
35767.csv,1.0834014739377915,-1.0120243882162576,0.24756289914370125,40.3,857.5,200.0
35777.csv,1.7888918417535205,0.3480102633053163,0.33139709164328746,51.5,862.0,220.0
35780.csv,1.6376100635693644,-0.6390425242693318,-0.17536135410655,44.2,858.2,270.0
35791.csv,-0.8637842739188691,-0.033173925400503075,0.45996800089137335,45.3,846.7,6.4
35804.csv,0.5948890568994855,1.0466820821679228,-0.2975323731690849,56.0,850.7,160.0
35807.csv,-1.0215179447028655,0.5023870356953974,0.147869160038747,49.5,843.7,7.2
35810.csv,-0.7997229512926621,0.2169431066944427,0.4546680845228377,47.3,847.0,6.5
35813.csv,0.3217684367213582,-0.2554900177901883,-0.09158078747400078,45.5,850.6,150.0
35816.csv,2.2728149964478677,-0.32795238899010953,-0.12665032110513447,47.3,862.3,310.0
35819.csv,1.54615229498656,0.1045669512130206,0.15584873661171195,49.5,859.5,220.0
35822.csv,-1.8927750358227493,0.51499654011072,-0.6813142369832584,49.3,833.3,3.9
35831.csv,0.899948858643217,0.4829943290258018,-0.5897239937089294,52.3,850.9,220.0
35835.csv,-1.0415344840274545,0.4666545327141866,0.1501129443800219,49.2,843.6,6.2
35841.csv,2.3110645121609426,-0.1316229395266335,-0.5160715802538076,49.2,860.1,340.0
35844.csv,2.138554460720896,-0.36365211891110333,-0.5000778644053796,47.2,859.2,330.0
35854.csv,2.5352936882202592,-0.33698861733955576,-0.8610634961390765,48.2,859.4,390.0
35857.csv,-1.6114391235435817,-0.526642370159648,-0.18515107934500555,41.2,838.3,9.2
35860.csv,-1.0479188164521755,1.363564530740739,-0.10309572528563012,56.3,841.8,6.5
35863.csv,-0.5975308716938117,1.0804871181869775,0.41679756069710133,54.2,847.8,6.9
35866.csv,1.8573775826660088,-0.015671267245456626,-0.12565303098901706,49.2,859.7,270.0
35869.csv,-0.441679436081889,-0.2681675413471856,-0.09927547996690833,44.5,845.9,90.0
35876.csv,-1.4589251713816511,0.8119306102009994,-0.3513110504825291,51.8,837.9,5.6
35879.csv,-0.29654800227136413,-0.3679784412662379,-0.4268291634114472,44.2,844.8,130.0
35888.csv,-0.45486536436153,-0.2817572706350527,-0.23346727818943783,44.5,845.0,100.0
35891.csv,-1.552808149541163,-0.1422166789471312,-0.1636444699204055,44.2,838.7,3.8
35895.csv,1.2772326217637222,0.11482333509035707,-0.11451683448778759,49.5,856.2,220.0
35901.csv,-1.5845503051205267,0.4007513467244366,-0.35612724373130983,48.5,837.2,4.9
35904.csv,-1.9575577425521928,-2.0374924853338534,-0.07761000076488926,29.1,837.2,5.8
35914.csv,-0.7588038032764043,-0.5338990753411359,-0.005960089923781665,42.0,844.6,63.0
35917.csv,-1.609851716588436,-0.14004108236708995,-0.22099474257787965,44.2,838.0,3.8
35923.csv,-0.8576168106336036,-0.13003628375176007,-0.2511789997097374,45.2,842.4,66.0
35926.csv,1.4211504228385268,0.07288681270820771,0.16480900679475666,49.1,858.8,210.0
35932.csv,1.728795022504408,-0.10747500310902187,0.14555096001202994,48.1,860.6,240.0
35935.csv,-0.8244795323236426,0.05349059252473342,0.473091657944812,46.0,847.0,6.6
35938.csv,0.6148725416886676,-0.9416741854716616,1.009838279167245,39.6,859.3,100.0
35941.csv,1.8635430686017165,0.4277782674381866,-0.11496317804991078,52.6,859.7,260.0
35944.csv,-0.9034205291843027,0.5604944900206579,0.244640068095538,50.0,845.0,7.6
35952.csv,1.7380397731828348,0.7780842024528712,0.039468061395803375,55.0,859.8,230.0
35964.csv,-0.7290794360232249,-0.050769271226602415,-0.29447101821938354,46.0,842.9,78.0
35967.csv,-0.5923093319144712,-0.30023120346758847,-0.015908232434488516,44.0,845.5,72.0
35970.csv,-0.666213481502245,0.22067322282763774,-0.1183609201551592,48.0,844.3,63.0
35973.csv,-1.5015272362480296,0.2084817864024602,-0.21765749092765466,47.0,838.6,4.6
